127.0.0.1, 2015-05-07 20:42:11, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000363
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/default/design/ga_server, HTTP/1.1, 200, 0.113922
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.000591
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.000364
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000826
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.001184
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000435
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000775
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000450
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001060
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000491
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.001110
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000562
127.0.0.1, 2015-05-07 20:42:14, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.001046
127.0.0.1, 2015-05-07 20:43:21, GET, /admin/default/peek/ga_server/views/default/index.html, HTTP/1.1, 200, 0.062346
127.0.0.1, 2015-05-07 20:43:21, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.000576
127.0.0.1, 2015-05-07 20:43:21, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.000555
127.0.0.1, 2015-05-07 20:43:21, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.000384
127.0.0.1, 2015-05-07 20:43:21, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000569
127.0.0.1, 2015-05-07 20:43:21, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.002084
127.0.0.1, 2015-05-07 20:43:21, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001359
127.0.0.1, 2015-05-07 20:43:21, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000606
127.0.0.1, 2015-05-07 20:43:21, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000767
127.0.0.1, 2015-05-07 20:43:21, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000637
127.0.0.1, 2015-05-07 20:43:21, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000565
